,video_id,start_frame,stop_frame,verb,verb_class,noun,noun_class,narration
2038,P01_103,2027,2079,attach-onto,64,knife,4,attach knife onto magnetic holder
2039,P01_103,2101,2192,pick-up,0,cutlery,58,pick up cutlery
2040,P01_103,2225,2274,open,3,drawer,8,open drawer
2041,P01_103,2276,2335,put-into,5,spatula,20,put spatula into drawer
2042,P01_103,2343,2380,move,11,tray:cutlery,35,move cutlery tray
2043,P01_103,2377,2428,put-down,1,peeler,87,put down peeler
2044,P01_103,2427,2467,put-down,1,knife,4,put down knife
2045,P01_103,2468,2501,put-down,1,fork,14,put down fork
2046,P01_103,524,597,put-into,5,plate,2,put plate into cupboard
2047,P01_103,2515,2544,close,4,drawer,8,close drawer
2048,P01_103,2590,2645,move,11,colander,39,move colander
2049,P01_103,2653,2700,pick-up,0,cafetiere,50,pick up cafetiere
2050,P01_103,2705,2743,pick-up,0,cafetiere,50,pick up cafetiere plunger
2051,P01_103,2747,2807,put-into,5,cafetiere,50,put cafetiere plunger into cafetiere
2052,P01_103,2929,2950,open,3,cupboard,3,open cupboard
2053,P01_103,2955,3025,put-into,5,cafetiere,50,put cafetiere into cupboard
2054,P01_103,3023,3055,close,4,cupboard,3,close cupboard
2055,P01_103,3036,3195,close,4,cupboard,3,close cupboard
2056,P01_103,3299,3371,pick-up,0,spoon,1,pick up spoon
2057,P01_103,600,641,close,4,cupboard,3,close cupboard
2058,P01_103,3363,3390,put-down,1,spoon,1,put down spoon
2059,P01_103,3432,3481,open,3,cooker:rice,152,open rice cooker
2060,P01_103,3490,3553,take,0,cooker:rice,152,take rice cooker
2061,P01_103,3552,3617,close,4,cooker:rice,152,close rice cooker
2062,P01_103,3618,3645,put-down,1,pot:rice:cooker,29,put down rice cooker pot
2063,P01_103,3648,3699,turn-on,6,tap,0,turn on tap
2064,P01_103,3700,4051,rinse,2,pot,29,rinse pot
2065,P01_103,4048,4085,turn-off,8,tap,0,turn off tap
2066,P01_103,4112,4151,pick-up,0,colander,39,pick up colander
2067,P01_103,4201,4252,put-down,1,colander,39,put down colander
2068,P01_103,650,732,pick-up,0,wok,5,pick up wok
2069,P01_103,4325,4340,pick-up,0,cup,13,pick up cup
2070,P01_103,4364,4389,put-down,1,cup,13,put down cup
2071,P01_103,4412,4445,open,3,cupboard,3,open cupboard
2072,P01_103,4475,4519,pick-up,0,cereal,99,pick up cereals
2073,P01_103,4520,4545,close,4,cupboard,3,close cupboard
2074,P01_103,4568,4635,open,3,box:cereal,23,open cereal box
2075,P01_103,4608,4624,put-down,1,cereal,99,put down cereal
2076,P01_103,4661,4714,take,0,bag:cereal,19,take cereal bag
2077,P01_103,4694,4717,move,11,box:cereal,23,move cereal box
2078,P01_103,4744,4904,open,3,bag:cereal,19,open cereal bag
2079,P01_103,808,865,open,3,cupboard,3,open cupboard
2080,P01_103,4923,5391,pour-into,9,cereal,99,pour cereals into cup
2081,P01_103,5444,5473,pick-up,0,nut,133,pick up nuts
2082,P01_103,5474,5489,put-down,1,nut,133,put down nuts
2083,P01_103,5519,5848,fold,28,bag:cereal,19,fold cereal bag
2084,P01_103,5850,5930,put-into,5,bag:cereal,19,put cereal bag into box
2085,P01_103,5954,6029,close,4,box:cereal,23,close cereals box
2086,P01_103,6069,6107,pick-up,0,box:cereal,23,pick up cereals box
2087,P01_103,6109,6164,open,3,cupboard,3,open cupboard
2088,P01_103,6050,6229,put-into,5,cereal,99,put cereals into cupboard
2089,P01_103,6229,6269,close,4,cupboard,3,close cupboard
2090,P01_103,936,968,pick-up,0,paper,49,pick up paper
2091,P01_103,6289,6342,open,3,fridge,12,open fridge
2092,P01_103,6362,6395,pick-up,0,milk:soy,64,pick up soy milk
2093,P01_103,6390,6440,put-down,1,milk:soy,64,put down soy milk
2094,P01_103,6461,6508,pick-up,0,container:food,21,pick up food container
2095,P01_103,6517,6562,close,4,fridge,12,close fridge
2096,P01_103,6563,6620,put-down,1,container:food,21,put down food container
2097,P01_103,6625,6712,pick-up,0,milk:soy,64,pick up soy milk
2098,P01_103,6690,6848,shake,15,milk:soy,64,shake soy milk
2099,P01_103,6841,6895,twist-off,71,cap,118,twist off cap
2100,P01_103,6904,7152,pour,9,milk,64,pour milk
2101,P01_103,906,980,put-onto,1,paper,49,put paper onto wok
2102,P01_103,7172,7267,twist-off,71,cap,118,twist off cap
2103,P01_103,7284,7377,open,3,fridge,12,open fridge
2104,P01_103,7359,7430,put-into,5,milk:soy,64,put soy milk into fridge
2105,P01_103,7420,7452,close,4,fridge,12,close fridge
2106,P01_103,7495,7527,open,3,drawer,8,open drawer
2107,P01_103,7525,7580,take,0,towel:tea,52,take tea towel
2108,P01_103,7567,7605,close,4,drawer,8,close drawer
2109,P01_103,7634,7705,open,3,drawer,8,open drawer
2110,P01_103,7600,7748,pick-up,0,spoon,1,pick up spoon
2111,P01_103,7755,7801,close,4,drawer,8,close drawer
2112,P01_103,973,1042,move,11,pan,5,move pans
2113,P01_103,7793,7845,put-into,5,spoon,1,put spoon into cup
2114,P01_103,7846,8170,pick-up,0,cup,13,pick up cup
2115,P01_103,8173,8264,put-down,1,cup,13,put down cup
2116,P01_103,8368,8422,turn-on,6,light,114,turn on lights
2117,P01_103,8440,8577,unfold,39,towel:tea,52,unfold tea towel
2118,P01_103,8596,8681,put-down,1,towel:tea,52,put down tea towel
2119,P01_103,8674,8780,move,11,towel:tea,52,move tea towel
2120,P01_103,8763,8826,put-down,1,cup,13,put down cup
2121,P01_104,41,90,pick-up,0,cup,13,pick up cup
2122,P01_104,121,204,pick-up,0,towel:tea,52,pick up tea towel
2123,P01_104,1159,1187,turn-on,6,tap,0,turn on tap
2124,P01_104,1242,1270,rinse,2,sponge,9,rinse sponge
2125,P01_104,1275,1317,turn-off,8,tap,0,turn off tap
2126,P01_104,1351,1430,take,0,liquid:washing:up,22,take washing up liquid
2127,P01_104,1435,1528,pour,9,liquid:washing:up,22,pour washing up liquid
2128,P01_104,1528,1611,put-down,1,liquid:washing:up,22,put down washing up liquid
2129,P01_104,1616,1686,squeeze,18,sponge,9,squeeze sponge
2130,P01_104,1676,1721,pick-up,0,cup,13,pick up cup
2131,P01_104,1788,1827,turn-on,6,tap,0,turn on tap
2132,P01_104,1789,1848,rinse,2,cup,13,rinse cup
2133,P01_104,464,499,put-down,1,cup,13,put down cup
2134,P01_104,1851,1879,turn-off,8,tap,0,turn off tap
2135,P01_104,1955,1987,take,0,sponge,9,take sponge
2136,P01_104,1913,1982,put-down,1,sponge,9,put down sponge
2137,P01_104,1850,2005,take,0,cup:tea,13,take tea cup
2138,P01_104,1990,2373,wash,2,cup,13,wash cup
2139,P01_104,2374,2390,take,0,spoon,1,take spoon
2140,P01_104,2395,2434,put-down,1,cup,13,put down cup
2141,P01_104,2475,2670,wash,2,spoon,1,wash spoon
2142,P01_104,2674,2704,put-into,5,spoon,1,put spoon into cup
2143,P01_104,2727,3183,wash,2,cup,13,wash cup
2144,P01_104,572,884,fold,28,towel:tea,52,fold tea towel
2145,P01_104,3173,3253,empty,20,pot,29,empty pot
2146,P01_104,3258,4622,wash,2,cup,13,wash cup
2147,P01_104,4666,4711,turn-on,6,tap,0,turn on tap
2148,P01_104,4678,4818,rinse,2,hand,11,rinse hands
2149,P01_104,4768,4811,take,0,cup,13,take cup
2150,P01_104,4801,4816,take,0,spoon,1,take spoon
2151,P01_104,4809,5009,rinse,2,spoon,1,rinse spoon
2152,P01_104,5009,5054,put-onto,1,spoon,1,put spoon onto rack
2153,P01_104,5064,5091,pick-up,0,cup,13,pick up cup
2154,P01_104,5092,5267,rinse,2,cup,13,rinse cup
2155,P01_104,774,822,put-down,1,towel:tea,52,put down tea towel
2156,P01_104,5250,5285,adjust,17,tap,0,adjust tap
2157,P01_104,5429,5477,put-onto,1,cup,13,put cup onto rack
2158,P01_104,5459,5680,take,0,pot,29,take pot
2159,P01_104,5529,5866,rinse,2,pot,29,rinse pot
2160,P01_104,5874,5895,pick-up,0,sponge,9,pick up sponge
2161,P01_104,5904,6126,wash,2,cup,13,wash cup
2162,P01_104,6127,6143,put-down,1,spoon,1,put down spoon
2163,P01_104,6151,6204,rinse,2,hand,11,rinse hand
2164,P01_104,6204,6906,rinse,2,pot,29,rinse pot
2165,P01_104,6906,6939,take,0,sponge,9,take sponge
2166,P01_104,798,864,fold,28,towel:tea,52,fold tea towel
2167,P01_104,6951,7206,wash,2,cup,13,wash cup
2168,P01_104,7214,7232,put-down,1,sponge,9,put down sponge
2169,P01_104,7234,7285,rinse,2,hand,11,rinse hand
2170,P01_104,7222,7360,empty,20,pot,29,empty pot
2171,P01_104,7343,7709,rinse,2,pot,29,rinse pot
2172,P01_104,7707,7768,adjust,17,tap,0,adjust tap
2173,P01_104,7768,7857,empty,20,pot,29,empty pot
2174,P01_104,7848,7964,rinse,2,pot,29,rinse pot
2175,P01_104,7969,8000,empty,20,pot,29,empty pot
2176,P01_104,7991,8076,put-onto,1,pot,29,put pot onto rack
2177,P01_104,896,942,open,3,drawer,8,open drawer
2178,P01_104,8080,8093,take,0,sponge,9,take sponge
2179,P01_104,8098,8125,rinse,2,sponge,9,rinse sponge
2180,P01_104,8101,8139,adjust,17,tap,0,adjust tap
2181,P01_104,8092,8755,rinse,2,sponge,9,rinse sponge
2182,P01_104,8769,8791,take,0,cloth,17,take cloth
2183,P01_104,8813,8837,rinse,2,sponge,9,rinse sponge
2184,P01_104,8811,8871,rinse,2,cloth,17,rinse cloth
2185,P01_104,8874,8899,rinse,2,sponge,9,rinse sponge
2186,P01_104,8906,8953,put-down,1,sponge,9,put down sponge
2187,P01_104,8985,9015,wash,2,sink,63,wash sink
2188,P01_104,943,965,put-into,5,towel:tea,52,put tea towel into drawer
2189,P01_104,9006,9051,rinse,2,cloth,17,rinse cloth
2190,P01_104,9053,9092,wash,2,sink,63,wash sink
2191,P01_104,9093,9137,rinse,2,cloth,17,rinse cloth
2192,P01_104,9131,9154,wash,2,sink,63,wash sink
2193,P01_104,9159,9177,rinse,2,cloth,17,rinse cloth
2194,P01_104,9184,9314,wipe,2,sink,63,wipe sink
2195,P01_104,9323,9350,rinse,2,cloth,17,rinse cloth
2196,P01_104,9354,9374,turn-off,8,tap,0,turn off tap
2197,P01_104,9461,10399,wipe,2,surface,42,wipe surface
2198,P01_104,10446,10486,turn-on,6,tap,0,turn on tap
2199,P01_104,971,1000,close,4,drawer,8,close drawer
2200,P01_104,10459,10557,rinse,2,cloth,17,rinse cloth
2201,P01_104,10567,10633,wipe,2,surface,42,wipe surface
2202,P01_104,10640,10710,rinse,2,cloth,17,rinse cloth
2203,P01_104,10722,10765,wipe,2,sink,63,wipe sink
2204,P01_104,10758,10911,rinse,2,cloth,17,rinse cloth
2205,P01_104,10912,10954,put-down,1,cloth,17,put down cloth
2206,P01_104,10954,11004,hand,41,hand,11,hand wash
2207,P01_104,11002,11205,wash,2,hand,11,wash hands
2208,P01_104,11201,11506,rinse,2,hand,11,rinse hands
2209,P01_104,11511,11544,turn-off,8,tap,0,turn off tap
2210,P01_104,1137,1167,take,0,sponge,9,take sponge
2211,P01_104,11704,11774,take,0,cloth,17,take cloth
2212,P01_104,11775,12171,dry,14,hand,11,dry hands
2213,P01_104,12175,12213,put-down,1,cloth,17,put down cloth
2214,P01_105,51,109,pick-up,0,container,21,pick up container
2215,P01_105,114,175,open,3,cupboard,3,open cupboard
2216,P01_105,553,581,put-into,5,container,21,put container into container
2217,P01_105,9248,9276,put-into,5,dice:courgette,76,put courgette dice into wok
2218,P01_105,9347,9376,move,11,slice:courgette,76,move courgette slices
2219,P01_105,9384,9532,dice,7,courgette,76,dice courgette
2220,P01_105,9536,9549,pick-up,0,dice:courgette,76,pick up courgette dice
2221,P01_105,9547,9572,put-into,5,dice:courgette,76,put courgette dice into wok
2222,P01_105,9584,9673,move,11,slice:courgette,76,move courgette slices
2223,P01_105,9673,9827,dice,7,courgette,76,dice courgette
2224,P01_105,9888,9942,pick-up,0,dice:courgette,76,pick up courgette dice
2225,P01_105,9857,9973,put-into,5,dice:courgette,76,put courgette dice into wok
2226,P01_105,9976,10068,move,11,slice:courgette,76,move courgette slices
2227,P01_105,550,633,put-down,1,lid,6,put down lid
2228,P01_105,10042,10216,dice,7,courgette,76,dice courgette
2229,P01_105,10214,10242,pick-up,0,dice:courgette,76,pick up courgette dice
2230,P01_105,10227,10311,put-into,5,dice:courgette,76,put courgette dice into wok
2231,P01_105,10316,10408,move,11,slice:courgette,76,move courgette slices
2232,P01_105,10400,10557,dice,7,courgette,76,dice courgette
2233,P01_105,10558,10590,pick-up,0,dice:courgette,76,pick up courgette dice
2234,P01_105,10595,10669,put-into,5,dice:courgette,76,put courgette dice into wok
2235,P01_105,10641,10671,put-down,1,knife,4,put down knife
2236,P01_105,10700,10731,take,0,slice:courgette,76,take courgette slices
2237,P01_105,10985,11136,pick-up,0,bit:courgette,76,pick up courgette bits
2238,P01_105,624,716,pick-up,0,container,21,pick up container
2239,P01_105,11159,11182,open,3,bin:food,36,open food bin
2240,P01_105,11183,11195,throw-into,13,bit:courgette,76,throw courgette bits into food bin
2241,P01_105,11195,11206,close,4,bin:food,36,close food bin
2242,P01_105,11355,11417,stir,10,courgette,76,stir courgette
2243,P01_105,11423,11465,pick-up,0,carrot,41,pick up carrot
2244,P01_105,11482,11514,open,3,drawer,8,open drawer
2245,P01_105,11525,11558,pick-up,0,peeler,87,pick up peeler
2246,P01_105,11555,11590,close,4,drawer,8,close drawer
2247,P01_105,11619,12586,peel,19,carrot,41,peel carrot
2248,P01_105,12591,12631,put-down,1,peeler,87,put down peeler
2249,P01_105,637,738,take-from,0,container,21,take container from container
2250,P01_105,12647,12676,pick-up,0,knife,4,pick up knife
2251,P01_105,12664,12690,put-down,1,knife,4,put down knife and carrot
2252,P01_105,12733,12789,pick-up,0,wok,5,pick up wok
2253,P01_105,12794,12896,put-down,1,wok,5,put down wok
2254,P01_105,12901,12946,turn-on,6,light,114,turn on light
2255,P01_105,13034,13094,pick-up,0,oil,31,pick up oil
2256,P01_105,13124,13161,open,3,bottle,15,open bottle
2257,P01_105,13154,13335,pour,9,oil,31,pour oil
2258,P01_105,13354,13432,close,4,bottle,15,close bottle
2259,P01_105,13518,13623,put-down,1,oil,31,put down oil
2260,P01_105,760,825,put-down,1,container,21,put down container
2261,P01_105,13637,13775,turn-on,6,hob,24,turn on hob
2262,P01_105,13807,13854,pick-up,0,salt,38,pick up salt
2263,P01_105,13847,13914,open,3,jar,40,open jar
2264,P01_105,13915,13935,put-down,1,lid,6,put down lid
2265,P01_105,13970,14192,grind,49,salt,38,grind salt
2266,P01_105,14228,14245,pick-up,0,lid,6,pick up lid
2267,P01_105,14247,14312,close,4,jar,40,close jar
2268,P01_105,14294,14350,put-down,1,salt,38,put down salt
2269,P01_105,14407,14433,pick-up,0,carrot,41,pick up carrot
2270,P01_105,14425,14452,pick-up,0,knife,4,pick up knife
2271,P01_105,800,930,put-into,5,container,21,put containers into container
2272,P01_105,14465,14855,slice,7,carrot,41,slice carrots
2273,P01_105,14890,15088,move,11,slice:carrot,41,move carrot slices
2274,P01_105,15088,16801,dice,7,carrot,41,dice carrot
2275,P01_105,16806,16881,take-off,12,bit:carrot,41,take carrot bits off knife
2276,P01_105,16876,16945,take-off,12,bit:carrot,41,take carrot bits off hand
2277,P01_105,16931,16964,put-down,1,knife,4,put down knife
2278,P01_105,16993,17114,close,4,door,3,close door
2279,P01_105,17188,17210,pick-up,0,knife,4,pick up knife
2280,P01_105,17200,17306,pick-up,0,board:cutting,18,pick up cutting board
2281,P01_105,17312,17435,move-into,11,carrot,41,move carrot into wok
2282,P01_105,962,1102,take,0,lid,6,take lid
2283,P01_105,17470,17553,put-down,1,board:cutting,18,put down cutting board and knife
2284,P01_105,17594,17725,adjust,17,hob,24,adjust hob
2285,P01_105,17757,17792,move,11,peeler,87,move peeler
2286,P01_105,17795,18020,take,0,skin:carrot,48,take carrot skin
2287,P01_105,18025,18125,take,0,skin:carrot,48,take carrot skin
2288,P01_105,18168,18201,open,3,bin:food,36,open food bin
2289,P01_105,18213,18233,throw-into,13,skin:carrot,48,throw carrot skin into bin
2290,P01_105,18243,18257,close,4,bin:food,36,close food bin
2291,P01_105,18305,18351,open,3,drawer,8,open drawer
2292,P01_105,18363,18422,pick-up,0,spatula,20,pick up spatula
2293,P01_105,1107,1132,put-into,5,container,21,put container into container
2294,P01_105,18380,18406,close,4,drawer,8,close drawer
2295,P01_105,18568,18625,put-down,1,spatula,20,put down spatula
2296,P01_105,18624,18674,open,3,drawer,8,open drawer
2297,P01_105,18679,18738,pick-up,0,spatula,20,pick up spatula
2298,P01_105,18733,18762,close,4,drawer,8,close drawer
2299,P01_105,18767,19677,stir,10,food,34,stir food
2300,P01_105,19703,19743,tap,32,spatula,20,tap spatula
2301,P01_105,19749,19814,put-down,1,spatula,20,put down spatula
2302,P01_105,19896,19932,pick-up,0,container,21,pick up container
2303,P01_105,19935,19968,open,3,container,21,open container
2304,P01_105,1220,1322,put-into,5,lid,6,put lid into cupboard
2305,P01_105,19951,19987,put-down,1,lid,6,put down lid
2306,P01_105,19991,20011,pick-up,0,onion,16,pick up onion
2307,P01_105,20016,20034,put-down,1,onion,16,put down onion
2308,P01_105,20017,20043,put-down,1,container,21,put down container
2309,P01_105,20046,20081,pick-up,0,knife,4,pick up knife
2310,P01_105,20084,20110,wipe,2,knife,4,wipe knife
2311,P01_105,20193,20280,cut,7,onion,16,cut onion
2312,P01_105,20286,20303,pick-up,0,onion,16,pick up onion
2313,P01_105,20310,20330,put-into,5,onion,16,put onion into container
2314,P01_105,20339,20361,pick-up,0,lid,6,pick up lid
2315,P01_105,1350,1389,put-into,5,container,21,put container into container
2316,P01_105,20357,20392,close,4,container,21,close container
2317,P01_105,20461,20487,pick-up,0,container,21,pick up container
2318,P01_105,20500,20549,open,3,fridge,12,open fridge
2319,P01_105,20551,20573,put-into,5,container,21,put container into fridge
2320,P01_105,20579,20606,close,4,fridge,12,close fridge
2321,P01_105,20691,20709,pick-up,0,knife,4,pick up knife
2322,P01_105,20721,21230,cut,7,onion,16,cut onion
2323,P01_105,21235,21291,take-off,12,onion,16,take onion off knife
2324,P01_105,21289,21321,take-off,12,onion,16,take onion off hand
2325,P01_105,21313,21348,pick-up,0,board:cutting,18,pick up cutting board
2326,P01_105,190,248,pick-up,0,container,21,pick up container
2327,P01_105,1350,1391,put-into,5,container,21,put container into cupboard
2328,P01_105,21382,21520,move-into,11,onion,16,move onion into wok
2329,P01_105,21537,21625,put-down,1,board:cutting,18,put down cutting board and knife
2330,P01_105,21657,21717,pick-up,0,spatula,20,pick up spatula
2331,P01_105,21712,22619,stir,10,food,34,stir food
2332,P01_105,22624,22749,tap,32,spatula,20,tap spatula
2333,P01_105,22782,22832,tap,32,spatula,20,tap spatula
2334,P01_105,22823,22874,put-down,1,spatula,20,put down spatula
2335,P01_105,22873,23049,adjust,17,hob,24,adjust hob
2336,P01_105,23073,23120,pick-up,0,tofu,81,pick up tofu
2337,P01_105,23120,23386,open,3,box,23,open box
2338,P01_105,1501,1517,pick-up,0,lid,6,pick up lid
